msoa11cd,age_total,age0to4pc,age5to14pc,age16to24pc,age25to44pc,age45to64pc,age75pluspc,nssec_total,1_higher_managerial,2_lower_managerial,3_intermediate_occupations,4_employers_small_org,5_lower_supervisory,6_semi_routine,7_routine,8_unemployed,avg_dwn_speed,avb_superfast,no_decent_bband,bband_speed_under2mbs,bband_speed_under10mbs,bband_speed_over30mbs
E02002337,6712,0.057657926,0.090584029,0.092669845,0.262663886,0.284117998,0.077473182,4653,0.202020202,0.310767247,0.157317859,0.119277885,0.048570815,0.088545025,0.056737589,0.016763378,41,0.974,0.004,0.005,0.106,0.557
E02002338,6800,0.067352941,0.095588235,0.081029412,0.281470588,0.262352941,0.093970588,4541,0.166703369,0.271746311,0.162519269,0.100638626,0.071790355,0.125302797,0.075534023,0.02576525,53.9,0.986,0,0.005,0.097,0.653
E02002339,5719,0.065570904,0.090050708,0.095646092,0.282916594,0.246896311,0.098793495,3837,0.091738337,0.201980714,0.150117279,0.088871514,0.081313526,0.200677613,0.136304404,0.048996612,67.7,0.999,0.001,0.006,0.206,0.737
E02002340,5536,0.048771676,0.07984104,0.095556358,0.251625723,0.28558526,0.095195087,3889,0.098740036,0.251735665,0.165080998,0.10311134,0.092825919,0.159166881,0.10311134,0.026227822,67.6,0.981,0.019,0.009,0.179,0.726
E02002341,7348,0.056614045,0.087642896,0.089956451,0.233396843,0.284022863,0.106559608,4835,0.243640124,0.307342296,0.144364012,0.120372285,0.038055843,0.076525336,0.04033092,0.029369183,83.8,0.99,0.003,0.016,0.221,0.712
E02002342,5752,0.05267733,0.081884562,0.092837274,0.226877608,0.295723227,0.108484006,3898,0.13981529,0.269368907,0.19779374,0.088763468,0.06208312,0.133658286,0.070292458,0.038224731,76.4,0.992,0.004,0.007,0.19,0.704
E02002343,5729,0.070518415,0.090242625,0.089195322,0.282597312,0.283295514,0.066852854,4000,0.15525,0.2765,0.16375,0.11775,0.062,0.13075,0.074,0.02,69.2,0.994,0,0.003,0.089,0.651
E02002344,7678,0.053529565,0.084527221,0.08739255,0.271685335,0.273769211,0.104845012,5151,0.217433508,0.297612114,0.156086197,0.104834013,0.038245001,0.101339546,0.04290429,0.041545331,78.4,1,0,0.007,0.123,0.738
E02002345,5503,0.049609304,0.091222969,0.082863892,0.214610213,0.318916954,0.105215337,3695,0.260081191,0.312584574,0.142625169,0.098240866,0.034100135,0.078213802,0.040595399,0.033558863,76,0.973,0,0.002,0.042,0.629
E02002346,5982,0.069709127,0.089434972,0.100969575,0.283182882,0.253092611,0.083751254,4007,0.111804342,0.225106064,0.147741452,0.097329673,0.078861992,0.167207387,0.110806089,0.061143,74.6,0.993,0.007,0.009,0.178,0.722
E02002347,5998,0.071357119,0.098532844,0.111370457,0.28942981,0.24624875,0.084861621,3913,0.100178891,0.192946588,0.153335037,0.093789931,0.069511883,0.168157424,0.117301303,0.104778942,73.5,0.999,0,0.004,0.216,0.678
E02002348,6111,0.058419244,0.097365407,0.100310915,0.254786451,0.262804778,0.116020291,3901,0.139451423,0.247885158,0.153806716,0.087669828,0.067418611,0.143552935,0.088951551,0.071263779,72.5,0.982,0.016,0.005,0.154,0.636
E02002349,5637,0.061734965,0.083909881,0.082845485,0.314706404,0.25527763,0.096682633,3849,0.269160821,0.318004677,0.118732138,0.095349441,0.037152507,0.085476747,0.036892699,0.039230969,82.3,0.986,0.009,0.025,0.173,0.758
E02002350,6201,0.047895501,0.091436865,0.129656507,0.217868086,0.261570714,0.100467667,3966,0.214826021,0.303580434,0.170953101,0.099596571,0.048915784,0.087997983,0.049672214,0.024457892,69.4,0.983,0.007,0.002,0.161,0.672
E02002351,5399,0.048712725,0.087053158,0.082422671,0.210409335,0.312465271,0.108353399,3671,0.192318169,0.29692182,0.168074094,0.12448924,0.050939798,0.093979842,0.052301825,0.020975211,48.2,0.903,0.014,0.037,0.249,0.579
E02002352,7371,0.060100393,0.082485416,0.098901099,0.298738299,0.253832587,0.095373762,4965,0.214300101,0.300906344,0.141591138,0.095266868,0.04652568,0.100503525,0.054380665,0.04652568,75.2,0.989,0,0.003,0.069,0.665
E02002353,5817,0.075468455,0.103833591,0.102114492,0.303936737,0.267148014,0.055354994,3897,0.245060303,0.329997434,0.127020785,0.080574801,0.038747755,0.083397485,0.044393123,0.050808314,83.4,1,0,0.007,0.183,0.722
E02002354,7825,0.062492013,0.089073482,0.095079872,0.298402556,0.241022364,0.102236422,5151,0.166569598,0.250048534,0.150262085,0.099592312,0.057658707,0.124247719,0.082119977,0.069501068,75.2,0.999,0,0.003,0.061,0.72
E02002356,7521,0.059167664,0.088685015,0.084430262,0.280547799,0.272570137,0.086424678,5129,0.214466758,0.324429713,0.151296549,0.099434588,0.050107233,0.087736401,0.052056931,0.020471827,59.8,0.962,0.005,0.003,0.074,0.616
E02002357,7784,0.059737924,0.074254882,0.10688592,0.327852004,0.243961973,0.081706064,5497,0.164817173,0.288702929,0.150445698,0.087502274,0.058941241,0.12497726,0.091504457,0.033108969,66.5,0.993,0,0.005,0.077,0.667
E02002358,7353,0.061879505,0.089623283,0.10254318,0.253229974,0.276893785,0.080375357,5025,0.07920398,0.197014925,0.16278607,0.094726368,0.088955224,0.191442786,0.139104478,0.046766169,81.1,0.986,0,0.004,0.112,0.691
E02002359,6393,0.049429063,0.090254966,0.073830752,0.231659628,0.297356484,0.098545284,4391,0.174447734,0.29173309,0.154862218,0.120018219,0.0567069,0.107948076,0.067638351,0.026645411,42.2,0.896,0.012,0.011,0.072,0.633
E02002360,6748,0.075874333,0.087433314,0.112774155,0.335358625,0.224510966,0.06698281,4542,0.209819463,0.284015852,0.140246587,0.074196389,0.047996477,0.118229855,0.072875385,0.052619991,69.8,0.992,0.001,0.008,0.149,0.737
E02002361,5746,0.069613644,0.097633136,0.102506091,0.291333101,0.255656109,0.084058475,3728,0.212714592,0.297746781,0.120439914,0.082349785,0.043723176,0.111051502,0.063841202,0.068133047,82.6,0.996,0.004,0.021,0.16,0.761
E02002362,7695,0.069135802,0.095906433,0.121637427,0.307212476,0.234178038,0.079922027,5152,0.080551242,0.177018634,0.135287267,0.074728261,0.080551242,0.194875776,0.159549689,0.097437888,77.8,0.999,0.001,0.015,0.185,0.743
E02002363,6976,0.051318807,0.057912844,0.090309633,0.428038991,0.22290711,0.06981078,5270,0.260910816,0.349335863,0.118785579,0.070208729,0.037571157,0.078178368,0.048956357,0.036053131,69.7,0.976,0,0.002,0.056,0.671
