Lower layer Super Output Areas Code,Lower layer Super Output Areas,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E01000018,Barking and Dagenham 009D,3,3. Associate professional and technical occupations,68
E01000018,Barking and Dagenham 009D,4,4. Administrative and secretarial occupations,86
E01000018,Barking and Dagenham 009D,5,5. Skilled trades occupations,109
E01000018,Barking and Dagenham 009D,6,"6. Caring, leisure and other service occupations",100
E01000018,Barking and Dagenham 009D,7,7. Sales and customer service occupations,68
E01000018,Barking and Dagenham 009D,8,"8. Process, plant and machine operatives",63
E01000018,Barking and Dagenham 009D,9,9. Elementary occupations,151
E01000019,Barking and Dagenham 023A,-8,Does not apply,968
E01000019,Barking and Dagenham 023A,1,"1. Managers, directors and senior officials",61
E01000019,Barking and Dagenham 023A,2,2. Professional occupations,89
E01000019,Barking and Dagenham 023A,3,3. Associate professional and technical occupations,62
E01000019,Barking and Dagenham 023A,4,4. Administrative and secretarial occupations,75
E01000019,Barking and Dagenham 023A,5,5. Skilled trades occupations,76
E01000019,Barking and Dagenham 023A,6,"6. Caring, leisure and other service occupations",68
E01000019,Barking and Dagenham 023A,7,7. Sales and customer service occupations,57
E01000019,Barking and Dagenham 023A,8,"8. Process, plant and machine operatives",77
E01000019,Barking and Dagenham 023A,9,9. Elementary occupations,124
E01000020,Barking and Dagenham 023B,-8,Does not apply,1299
E01000020,Barking and Dagenham 023B,1,"1. Managers, directors and senior officials",52
E01000020,Barking and Dagenham 023B,2,2. Professional occupations,122
E01000020,Barking and Dagenham 023B,3,3. Associate professional and technical occupations,99
E01000020,Barking and Dagenham 023B,4,4. Administrative and secretarial occupations,100
E01000020,Barking and Dagenham 023B,5,5. Skilled trades occupations,117
E01000020,Barking and Dagenham 023B,6,"6. Caring, leisure and other service occupations",79
E01000020,Barking and Dagenham 023B,7,7. Sales and customer service occupations,61
E01000020,Barking and Dagenham 023B,8,"8. Process, plant and machine operatives",96
E01000020,Barking and Dagenham 023B,9,9. Elementary occupations,166
E01000021,Barking and Dagenham 008A,-8,Does not apply,1007
E01000021,Barking and Dagenham 008A,1,"1. Managers, directors and senior officials",46
E01000021,Barking and Dagenham 008A,2,2. Professional occupations,85
E01000021,Barking and Dagenham 008A,3,3. Associate professional and technical occupations,69
E01000021,Barking and Dagenham 008A,4,4. Administrative and secretarial occupations,60
E01000021,Barking and Dagenham 008A,5,5. Skilled trades occupations,98
E01000021,Barking and Dagenham 008A,6,"6. Caring, leisure and other service occupations",95
E01000021,Barking and Dagenham 008A,7,7. Sales and customer service occupations,62
E01000021,Barking and Dagenham 008A,8,"8. Process, plant and machine operatives",65
E01000021,Barking and Dagenham 008A,9,9. Elementary occupations,104
E01000022,Barking and Dagenham 008B,-8,Does not apply,838
E01000022,Barking and Dagenham 008B,1,"1. Managers, directors and senior officials",50
E01000022,Barking and Dagenham 008B,2,2. Professional occupations,101
E01000022,Barking and Dagenham 008B,3,3. Associate professional and technical occupations,56
E01000022,Barking and Dagenham 008B,4,4. Administrative and secretarial occupations,66
E01000022,Barking and Dagenham 008B,5,5. Skilled trades occupations,70
E01000022,Barking and Dagenham 008B,6,"6. Caring, leisure and other service occupations",75
E01000022,Barking and Dagenham 008B,7,7. Sales and customer service occupations,64
E01000022,Barking and Dagenham 008B,8,"8. Process, plant and machine operatives",61
E01000022,Barking and Dagenham 008B,9,9. Elementary occupations,95
E01000024,Barking and Dagenham 008D,-8,Does not apply,856
E01000024,Barking and Dagenham 008D,1,"1. Managers, directors and senior officials",40
E01000024,Barking and Dagenham 008D,2,2. Professional occupations,100
E01000024,Barking and Dagenham 008D,3,3. Associate professional and technical occupations,61
E01000024,Barking and Dagenham 008D,4,4. Administrative and secretarial occupations,59
E01000024,Barking and Dagenham 008D,5,5. Skilled trades occupations,77
E01000024,Barking and Dagenham 008D,6,"6. Caring, leisure and other service occupations",61
E01000024,Barking and Dagenham 008D,7,7. Sales and customer service occupations,50
E01000024,Barking and Dagenham 008D,8,"8. Process, plant and machine operatives",75
E01000024,Barking and Dagenham 008D,9,9. Elementary occupations,106
E01000025,Barking and Dagenham 008E,-8,Does not apply,1082
E01000025,Barking and Dagenham 008E,1,"1. Managers, directors and senior officials",56
E01000025,Barking and Dagenham 008E,2,2. Professional occupations,113
E01000025,Barking and Dagenham 008E,3,3. Associate professional and technical occupations,92
E01000025,Barking and Dagenham 008E,4,4. Administrative and secretarial occupations,85
E01000025,Barking and Dagenham 008E,5,5. Skilled trades occupations,91
E01000025,Barking and Dagenham 008E,6,"6. Caring, leisure and other service occupations",100
E01000025,Barking and Dagenham 008E,7,7. Sales and customer service occupations,80
E01000025,Barking and Dagenham 008E,8,"8. Process, plant and machine operatives",66
E01000025,Barking and Dagenham 008E,9,9. Elementary occupations,156
E01000027,Barking and Dagenham 001A,-8,Does not apply,1279
E01000027,Barking and Dagenham 001A,1,"1. Managers, directors and senior officials",77
E01000027,Barking and Dagenham 001A,2,2. Professional occupations,104
E01000027,Barking and Dagenham 001A,3,3. Associate professional and technical occupations,84
E01000027,Barking and Dagenham 001A,4,4. Administrative and secretarial occupations,67
E01000027,Barking and Dagenham 001A,5,5. Skilled trades occupations,127
E01000027,Barking and Dagenham 001A,6,"6. Caring, leisure and other service occupations",94
E01000027,Barking and Dagenham 001A,7,7. Sales and customer service occupations,58
E01000027,Barking and Dagenham 001A,8,"8. Process, plant and machine operatives",84
E01000027,Barking and Dagenham 001A,9,9. Elementary occupations,110
E01000028,Barking and Dagenham 001B,-8,Does not apply,1131
E01000028,Barking and Dagenham 001B,1,"1. Managers, directors and senior officials",32
E01000028,Barking and Dagenham 001B,2,2. Professional occupations,126
E01000028,Barking and Dagenham 001B,3,3. Associate professional and technical occupations,56
E01000028,Barking and Dagenham 001B,4,4. Administrative and secretarial occupations,61
E01000028,Barking and Dagenham 001B,5,5. Skilled trades occupations,85
E01000028,Barking and Dagenham 001B,6,"6. Caring, leisure and other service occupations",80
E01000028,Barking and Dagenham 001B,7,7. Sales and customer service occupations,47
E01000028,Barking and Dagenham 001B,8,"8. Process, plant and machine operatives",67
E01000028,Barking and Dagenham 001B,9,9. Elementary occupations,132
E01000029,Barking and Dagenham 001C,-8,Does not apply,1046
E01000029,Barking and Dagenham 001C,1,"1. Managers, directors and senior officials",81
E01000029,Barking and Dagenham 001C,2,2. Professional occupations,159
E01000029,Barking and Dagenham 001C,3,3. Associate professional and technical occupations,73
E01000029,Barking and Dagenham 001C,4,4. Administrative and secretarial occupations,74
E01000029,Barking and Dagenham 001C,5,5. Skilled trades occupations,102
E01000029,Barking and Dagenham 001C,6,"6. Caring, leisure and other service occupations",69
E01000029,Barking and Dagenham 001C,7,7. Sales and customer service occupations,64
E01000029,Barking and Dagenham 001C,8,"8. Process, plant and machine operatives",61
E01000029,Barking and Dagenham 001C,9,9. Elementary occupations,93
E01000030,Barking and Dagenham 001D,-8,Does not apply,1587
E01000030,Barking and Dagenham 001D,1,"1. Managers, directors and senior officials",86
E01000030,Barking and Dagenham 001D,2,2. Professional occupations,144
E01000030,Barking and Dagenham 001D,3,3. Associate professional and technical occupations,96
E01000030,Barking and Dagenham 001D,4,4. Administrative and secretarial occupations,96
E01000030,Barking and Dagenham 001D,5,5. Skilled trades occupations,100
E01000030,Barking and Dagenham 001D,6,"6. Caring, leisure and other service occupations",139
E01000030,Barking and Dagenham 001D,7,7. Sales and customer service occupations,84
E01000030,Barking and Dagenham 001D,8,"8. Process, plant and machine operatives",90
E01000030,Barking and Dagenham 001D,9,9. Elementary occupations,143
E01000031,Barking and Dagenham 002A,-8,Does not apply,980
E01000031,Barking and Dagenham 002A,1,"1. Managers, directors and senior officials",94
E01000031,Barking and Dagenham 002A,2,2. Professional occupations,160
E01000031,Barking and Dagenham 002A,3,3. Associate professional and technical occupations,90
E01000031,Barking and Dagenham 002A,4,4. Administrative and secretarial occupations,101
E01000031,Barking and Dagenham 002A,5,5. Skilled trades occupations,69
E01000031,Barking and Dagenham 002A,6,"6. Caring, leisure and other service occupations",82
E01000031,Barking and Dagenham 002A,7,7. Sales and customer service occupations,69
E01000031,Barking and Dagenham 002A,8,"8. Process, plant and machine operatives",47
E01000031,Barking and Dagenham 002A,9,9. Elementary occupations,80
E01000032,Barking and Dagenham 002B,-8,Does not apply,1196
E01000032,Barking and Dagenham 002B,1,"1. Managers, directors and senior officials",86
E01000032,Barking and Dagenham 002B,2,2. Professional occupations,124
E01000032,Barking and Dagenham 002B,3,3. Associate professional and technical occupations,98
E01000032,Barking and Dagenham 002B,4,4. Administrative and secretarial occupations,89
E01000032,Barking and Dagenham 002B,5,5. Skilled trades occupations,112
E01000032,Barking and Dagenham 002B,6,"6. Caring, leisure and other service occupations",92
E01000032,Barking and Dagenham 002B,7,7. Sales and customer service occupations,83
E01000032,Barking and Dagenham 002B,8,"8. Process, plant and machine operatives",78
E01000032,Barking and Dagenham 002B,9,9. Elementary occupations,123
E01000033,Barking and Dagenham 006A,-8,Does not apply,952
E01000033,Barking and Dagenham 006A,1,"1. Managers, directors and senior officials",42
E01000033,Barking and Dagenham 006A,2,2. Professional occupations,87
E01000033,Barking and Dagenham 006A,3,3. Associate professional and technical occupations,45
E01000033,Barking and Dagenham 006A,4,4. Administrative and secretarial occupations,59
E01000033,Barking and Dagenham 006A,5,5. Skilled trades occupations,58
E01000033,Barking and Dagenham 006A,6,"6. Caring, leisure and other service occupations",84
E01000033,Barking and Dagenham 006A,7,7. Sales and customer service occupations,53
E01000033,Barking and Dagenham 006A,8,"8. Process, plant and machine operatives",48
E01000033,Barking and Dagenham 006A,9,9. Elementary occupations,113
E01000034,Barking and Dagenham 003A,-8,Does not apply,921
E01000034,Barking and Dagenham 003A,1,"1. Managers, directors and senior officials",52
E01000034,Barking and Dagenham 003A,2,2. Professional occupations,101
E01000034,Barking and Dagenham 003A,3,3. Associate professional and technical occupations,69
E01000034,Barking and Dagenham 003A,4,4. Administrative and secretarial occupations,59
E01000034,Barking and Dagenham 003A,5,5. Skilled trades occupations,94
E01000034,Barking and Dagenham 003A,6,"6. Caring, leisure and other service occupations",77
E01000034,Barking and Dagenham 003A,7,7. Sales and customer service occupations,47
E01000034,Barking and Dagenham 003A,8,"8. Process, plant and machine operatives",60
E01000034,Barking and Dagenham 003A,9,9. Elementary occupations,95
E01000035,Barking and Dagenham 010A,-8,Does not apply,1042
E01000035,Barking and Dagenham 010A,1,"1. Managers, directors and senior officials",65
E01000035,Barking and Dagenham 010A,2,2. Professional occupations,126
E01000035,Barking and Dagenham 010A,3,3. Associate professional and technical occupations,69
E01000035,Barking and Dagenham 010A,4,4. Administrative and secretarial occupations,60
E01000035,Barking and Dagenham 010A,5,5. Skilled trades occupations,114
E01000035,Barking and Dagenham 010A,6,"6. Caring, leisure and other service occupations",102
E01000035,Barking and Dagenham 010A,7,7. Sales and customer service occupations,56
E01000035,Barking and Dagenham 010A,8,"8. Process, plant and machine operatives",93
E01000035,Barking and Dagenham 010A,9,9. Elementary occupations,133
E01000036,Barking and Dagenham 010B,-8,Does not apply,777
E01000036,Barking and Dagenham 010B,1,"1. Managers, directors and senior officials",46
E01000036,Barking and Dagenham 010B,2,2. Professional occupations,119
E01000036,Barking and Dagenham 010B,3,3. Associate professional and technical occupations,57
E01000036,Barking and Dagenham 010B,4,4. Administrative and secretarial occupations,67
E01000036,Barking and Dagenham 010B,5,5. Skilled trades occupations,98
E01000036,Barking and Dagenham 010B,6,"6. Caring, leisure and other service occupations",58
E01000036,Barking and Dagenham 010B,7,7. Sales and customer service occupations,48
E01000036,Barking and Dagenham 010B,8,"8. Process, plant and machine operatives",81
E01000036,Barking and Dagenham 010B,9,9. Elementary occupations,120
E01000037,Barking and Dagenham 003B,-8,Does not apply,841
E01000037,Barking and Dagenham 003B,1,"1. Managers, directors and senior officials",73
E01000037,Barking and Dagenham 003B,2,2. Professional occupations,166
E01000037,Barking and Dagenham 003B,3,3. Associate professional and technical occupations,104
E01000037,Barking and Dagenham 003B,4,4. Administrative and secretarial occupations,107
E01000037,Barking and Dagenham 003B,5,5. Skilled trades occupations,113
E01000037,Barking and Dagenham 003B,6,"6. Caring, leisure and other service occupations",75
E01000037,Barking and Dagenham 003B,7,7. Sales and customer service occupations,56
E01000037,Barking and Dagenham 003B,8,"8. Process, plant and machine operatives",71
E01000037,Barking and Dagenham 003B,9,9. Elementary occupations,91
E01000038,Barking and Dagenham 003C,-8,Does not apply,834
E01000038,Barking and Dagenham 003C,1,"1. Managers, directors and senior officials",60
E01000038,Barking and Dagenham 003C,2,2. Professional occupations,172
E01000038,Barking and Dagenham 003C,3,3. Associate professional and technical occupations,85
E01000038,Barking and Dagenham 003C,4,4. Administrative and secretarial occupations,88
E01000038,Barking and Dagenham 003C,5,5. Skilled trades occupations,86
E01000038,Barking and Dagenham 003C,6,"6. Caring, leisure and other service occupations",70
E01000038,Barking and Dagenham 003C,7,7. Sales and customer service occupations,56
E01000038,Barking and Dagenham 003C,8,"8. Process, plant and machine operatives",70
E01000038,Barking and Dagenham 003C,9,9. Elementary occupations,96
E01000039,Barking and Dagenham 003D,-8,Does not apply,930
E01000039,Barking and Dagenham 003D,1,"1. Managers, directors and senior officials",77
E01000039,Barking and Dagenham 003D,2,2. Professional occupations,178
E01000039,Barking and Dagenham 003D,3,3. Associate professional and technical occupations,92
E01000039,Barking and Dagenham 003D,4,4. Administrative and secretarial occupations,89
E01000039,Barking and Dagenham 003D,5,5. Skilled trades occupations,97
E01000039,Barking and Dagenham 003D,6,"6. Caring, leisure and other service occupations",80
E01000039,Barking and Dagenham 003D,7,7. Sales and customer service occupations,56
E01000039,Barking and Dagenham 003D,8,"8. Process, plant and machine operatives",80
E01000039,Barking and Dagenham 003D,9,9. Elementary occupations,74
E01000040,Barking and Dagenham 019A,-8,Does not apply,1140
E01000040,Barking and Dagenham 019A,1,"1. Managers, directors and senior officials",61
E01000040,Barking and Dagenham 019A,2,2. Professional occupations,106
E01000040,Barking and Dagenham 019A,3,3. Associate professional and technical occupations,78
E01000040,Barking and Dagenham 019A,4,4. Administrative and secretarial occupations,63
E01000040,Barking and Dagenham 019A,5,5. Skilled trades occupations,90
E01000040,Barking and Dagenham 019A,6,"6. Caring, leisure and other service occupations",87
E01000040,Barking and Dagenham 019A,7,7. Sales and customer service occupations,72
E01000040,Barking and Dagenham 019A,8,"8. Process, plant and machine operatives",66
E01000040,Barking and Dagenham 019A,9,9. Elementary occupations,115
E01000041,Barking and Dagenham 017A,-8,Does not apply,1020
E01000041,Barking and Dagenham 017A,1,"1. Managers, directors and senior officials",68
E01000041,Barking and Dagenham 017A,2,2. Professional occupations,102
E01000041,Barking and Dagenham 017A,3,3. Associate professional and technical occupations,77
E01000041,Barking and Dagenham 017A,4,4. Administrative and secretarial occupations,79
E01000041,Barking and Dagenham 017A,5,5. Skilled trades occupations,116
E01000041,Barking and Dagenham 017A,6,"6. Caring, leisure and other service occupations",99
E01000041,Barking and Dagenham 017A,7,7. Sales and customer service occupations,73
E01000041,Barking and Dagenham 017A,8,"8. Process, plant and machine operatives",79
E01000041,Barking and Dagenham 017A,9,9. Elementary occupations,130
E01000042,Barking and Dagenham 017B,-8,Does not apply,1173
E01000042,Barking and Dagenham 017B,1,"1. Managers, directors and senior officials",55
E01000042,Barking and Dagenham 017B,2,2. Professional occupations,108
E01000042,Barking and Dagenham 017B,3,3. Associate professional and technical occupations,74
E01000042,Barking and Dagenham 017B,4,4. Administrative and secretarial occupations,59
E01000042,Barking and Dagenham 017B,5,5. Skilled trades occupations,84
E01000042,Barking and Dagenham 017B,6,"6. Caring, leisure and other service occupations",84
E01000042,Barking and Dagenham 017B,7,7. Sales and customer service occupations,53
E01000042,Barking and Dagenham 017B,8,"8. Process, plant and machine operatives",59
E01000042,Barking and Dagenham 017B,9,9. Elementary occupations,130
E01000043,Barking and Dagenham 019B,-8,Does not apply,834
E01000043,Barking and Dagenham 019B,1,"1. Managers, directors and senior officials",50
E01000043,Barking and Dagenham 019B,2,2. Professional occupations,112
E01000043,Barking and Dagenham 019B,3,3. Associate professional and technical occupations,75
E01000043,Barking and Dagenham 019B,4,4. Administrative and secretarial occupations,71
E01000043,Barking and Dagenham 019B,5,5. Skilled trades occupations,102
E01000043,Barking and Dagenham 019B,6,"6. Caring, leisure and other service occupations",63
E01000043,Barking and Dagenham 019B,7,7. Sales and customer service occupations,51
E01000043,Barking and Dagenham 019B,8,"8. Process, plant and machine operatives",61
E01000043,Barking and Dagenham 019B,9,9. Elementary occupations,118
E01000044,Barking and Dagenham 016D,-8,Does not apply,1091
E01000044,Barking and Dagenham 016D,1,"1. Managers, directors and senior officials",79
E01000044,Barking and Dagenham 016D,2,2. Professional occupations,116
E01000044,Barking and Dagenham 016D,3,3. Associate professional and technical occupations,80
E01000044,Barking and Dagenham 016D,4,4. Administrative and secretarial occupations,55
E01000044,Barking and Dagenham 016D,5,5. Skilled trades occupations,137
E01000044,Barking and Dagenham 016D,6,"6. Caring, leisure and other service occupations",86
E01000044,Barking and Dagenham 016D,7,7. Sales and customer service occupations,71
E01000044,Barking and Dagenham 016D,8,"8. Process, plant and machine operatives",84
E01000044,Barking and Dagenham 016D,9,9. Elementary occupations,189
E01000045,Barking and Dagenham 017C,-8,Does not apply,995
E01000045,Barking and Dagenham 017C,1,"1. Managers, directors and senior officials",57
E01000045,Barking and Dagenham 017C,2,2. Professional occupations,96
E01000045,Barking and Dagenham 017C,3,3. Associate professional and technical occupations,68
