Lower layer Super Output Areas Code,Lower layer Super Output Areas,Occupation (current) (10 categories) Code,Occupation (current) (10 categories),Observation
E01002981,Kingston upon Thames 012D,1,"1. Managers, directors and senior officials",127
E01002981,Kingston upon Thames 012D,2,2. Professional occupations,203
E01002981,Kingston upon Thames 012D,3,3. Associate professional and technical occupations,97
E01002981,Kingston upon Thames 012D,4,4. Administrative and secretarial occupations,83
E01002981,Kingston upon Thames 012D,5,5. Skilled trades occupations,66
E01002981,Kingston upon Thames 012D,6,"6. Caring, leisure and other service occupations",52
E01002981,Kingston upon Thames 012D,7,7. Sales and customer service occupations,51
E01002981,Kingston upon Thames 012D,8,"8. Process, plant and machine operatives",34
E01002981,Kingston upon Thames 012D,9,9. Elementary occupations,47
E01002982,Kingston upon Thames 015D,-8,Does not apply,794
E01002982,Kingston upon Thames 015D,1,"1. Managers, directors and senior officials",125
E01002982,Kingston upon Thames 015D,2,2. Professional occupations,172
E01002982,Kingston upon Thames 015D,3,3. Associate professional and technical occupations,102
E01002982,Kingston upon Thames 015D,4,4. Administrative and secretarial occupations,78
E01002982,Kingston upon Thames 015D,5,5. Skilled trades occupations,43
E01002982,Kingston upon Thames 015D,6,"6. Caring, leisure and other service occupations",61
E01002982,Kingston upon Thames 015D,7,7. Sales and customer service occupations,45
E01002982,Kingston upon Thames 015D,8,"8. Process, plant and machine operatives",29
E01002982,Kingston upon Thames 015D,9,9. Elementary occupations,39
E01002983,Kingston upon Thames 015E,-8,Does not apply,855
E01002983,Kingston upon Thames 015E,1,"1. Managers, directors and senior officials",152
E01002983,Kingston upon Thames 015E,2,2. Professional occupations,262
E01002983,Kingston upon Thames 015E,3,3. Associate professional and technical occupations,110
E01002983,Kingston upon Thames 015E,4,4. Administrative and secretarial occupations,89
E01002983,Kingston upon Thames 015E,5,5. Skilled trades occupations,43
E01002983,Kingston upon Thames 015E,6,"6. Caring, leisure and other service occupations",44
E01002983,Kingston upon Thames 015E,7,7. Sales and customer service occupations,62
E01002983,Kingston upon Thames 015E,8,"8. Process, plant and machine operatives",23
E01002983,Kingston upon Thames 015E,9,9. Elementary occupations,27
E01002984,Kingston upon Thames 012E,-8,Does not apply,820
E01002984,Kingston upon Thames 012E,1,"1. Managers, directors and senior officials",121
E01002984,Kingston upon Thames 012E,2,2. Professional occupations,178
E01002984,Kingston upon Thames 012E,3,3. Associate professional and technical occupations,85
E01002984,Kingston upon Thames 012E,4,4. Administrative and secretarial occupations,48
E01002984,Kingston upon Thames 012E,5,5. Skilled trades occupations,48
E01002984,Kingston upon Thames 012E,6,"6. Caring, leisure and other service occupations",47
E01002984,Kingston upon Thames 012E,7,7. Sales and customer service occupations,34
E01002984,Kingston upon Thames 012E,8,"8. Process, plant and machine operatives",18
E01002984,Kingston upon Thames 012E,9,9. Elementary occupations,32
E01002985,Kingston upon Thames 007E,-8,Does not apply,866
E01002985,Kingston upon Thames 007E,1,"1. Managers, directors and senior officials",99
E01002985,Kingston upon Thames 007E,2,2. Professional occupations,199
E01002985,Kingston upon Thames 007E,3,3. Associate professional and technical occupations,119
E01002985,Kingston upon Thames 007E,4,4. Administrative and secretarial occupations,74
E01002985,Kingston upon Thames 007E,5,5. Skilled trades occupations,84
E01002985,Kingston upon Thames 007E,6,"6. Caring, leisure and other service occupations",57
E01002985,Kingston upon Thames 007E,7,7. Sales and customer service occupations,94
E01002985,Kingston upon Thames 007E,8,"8. Process, plant and machine operatives",44
E01002985,Kingston upon Thames 007E,9,9. Elementary occupations,84
E01002986,Kingston upon Thames 008E,-8,Does not apply,794
E01002986,Kingston upon Thames 008E,1,"1. Managers, directors and senior officials",123
E01002986,Kingston upon Thames 008E,2,2. Professional occupations,162
E01002986,Kingston upon Thames 008E,3,3. Associate professional and technical occupations,80
E01002986,Kingston upon Thames 008E,4,4. Administrative and secretarial occupations,51
E01002986,Kingston upon Thames 008E,5,5. Skilled trades occupations,28
E01002986,Kingston upon Thames 008E,6,"6. Caring, leisure and other service occupations",37
E01002986,Kingston upon Thames 008E,7,7. Sales and customer service occupations,32
E01002986,Kingston upon Thames 008E,8,"8. Process, plant and machine operatives",25
E01002986,Kingston upon Thames 008E,9,9. Elementary occupations,38
E01002987,Kingston upon Thames 011B,-8,Does not apply,711
E01002987,Kingston upon Thames 011B,1,"1. Managers, directors and senior officials",154
E01002987,Kingston upon Thames 011B,2,2. Professional occupations,370
E01002987,Kingston upon Thames 011B,3,3. Associate professional and technical occupations,242
E01002987,Kingston upon Thames 011B,4,4. Administrative and secretarial occupations,90
E01002987,Kingston upon Thames 011B,5,5. Skilled trades occupations,71
E01002987,Kingston upon Thames 011B,6,"6. Caring, leisure and other service occupations",68
E01002987,Kingston upon Thames 011B,7,7. Sales and customer service occupations,71
E01002987,Kingston upon Thames 011B,8,"8. Process, plant and machine operatives",33
E01002987,Kingston upon Thames 011B,9,9. Elementary occupations,83
E01002988,Kingston upon Thames 011C,-8,Does not apply,858
E01002988,Kingston upon Thames 011C,1,"1. Managers, directors and senior officials",141
E01002988,Kingston upon Thames 011C,2,2. Professional occupations,291
E01002988,Kingston upon Thames 011C,3,3. Associate professional and technical occupations,158
E01002988,Kingston upon Thames 011C,4,4. Administrative and secretarial occupations,56
E01002988,Kingston upon Thames 011C,5,5. Skilled trades occupations,30
E01002988,Kingston upon Thames 011C,6,"6. Caring, leisure and other service occupations",37
E01002988,Kingston upon Thames 011C,7,7. Sales and customer service occupations,46
E01002988,Kingston upon Thames 011C,8,"8. Process, plant and machine operatives",16
E01002988,Kingston upon Thames 011C,9,9. Elementary occupations,46
E01002989,Kingston upon Thames 011D,-8,Does not apply,661
E01002989,Kingston upon Thames 011D,1,"1. Managers, directors and senior officials",275
E01002989,Kingston upon Thames 011D,2,2. Professional occupations,464
E01002989,Kingston upon Thames 011D,3,3. Associate professional and technical occupations,257
E01002989,Kingston upon Thames 011D,4,4. Administrative and secretarial occupations,90
E01002989,Kingston upon Thames 011D,5,5. Skilled trades occupations,44
E01002989,Kingston upon Thames 011D,6,"6. Caring, leisure and other service occupations",36
E01002989,Kingston upon Thames 011D,7,7. Sales and customer service occupations,26
E01002989,Kingston upon Thames 011D,8,"8. Process, plant and machine operatives",12
E01002989,Kingston upon Thames 011D,9,9. Elementary occupations,33
E01002990,Kingston upon Thames 009D,-8,Does not apply,581
E01002990,Kingston upon Thames 009D,1,"1. Managers, directors and senior officials",185
E01002990,Kingston upon Thames 009D,2,2. Professional occupations,394
E01002990,Kingston upon Thames 009D,3,3. Associate professional and technical occupations,217
E01002990,Kingston upon Thames 009D,4,4. Administrative and secretarial occupations,94
E01002990,Kingston upon Thames 009D,5,5. Skilled trades occupations,44
E01002990,Kingston upon Thames 009D,6,"6. Caring, leisure and other service occupations",62
E01002990,Kingston upon Thames 009D,7,7. Sales and customer service occupations,56
E01002990,Kingston upon Thames 009D,8,"8. Process, plant and machine operatives",28
E01002990,Kingston upon Thames 009D,9,9. Elementary occupations,51
E01002991,Kingston upon Thames 009E,-8,Does not apply,651
E01002991,Kingston upon Thames 009E,1,"1. Managers, directors and senior officials",194
E01002991,Kingston upon Thames 009E,2,2. Professional occupations,298
E01002991,Kingston upon Thames 009E,3,3. Associate professional and technical occupations,151
E01002991,Kingston upon Thames 009E,4,4. Administrative and secretarial occupations,75
E01002991,Kingston upon Thames 009E,5,5. Skilled trades occupations,51
E01002991,Kingston upon Thames 009E,6,"6. Caring, leisure and other service occupations",48
E01002991,Kingston upon Thames 009E,7,7. Sales and customer service occupations,37
E01002991,Kingston upon Thames 009E,8,"8. Process, plant and machine operatives",17
E01002991,Kingston upon Thames 009E,9,9. Elementary occupations,43
E01002992,Kingston upon Thames 010D,-8,Does not apply,913
E01002992,Kingston upon Thames 010D,1,"1. Managers, directors and senior officials",108
E01002992,Kingston upon Thames 010D,2,2. Professional occupations,210
E01002992,Kingston upon Thames 010D,3,3. Associate professional and technical occupations,91
E01002992,Kingston upon Thames 010D,4,4. Administrative and secretarial occupations,49
E01002992,Kingston upon Thames 010D,5,5. Skilled trades occupations,29
E01002992,Kingston upon Thames 010D,6,"6. Caring, leisure and other service occupations",43
E01002992,Kingston upon Thames 010D,7,7. Sales and customer service occupations,50
E01002992,Kingston upon Thames 010D,8,"8. Process, plant and machine operatives",28
E01002992,Kingston upon Thames 010D,9,9. Elementary occupations,48
E01002993,Kingston upon Thames 013C,-8,Does not apply,638
E01002993,Kingston upon Thames 013C,1,"1. Managers, directors and senior officials",134
E01002993,Kingston upon Thames 013C,2,2. Professional occupations,332
E01002993,Kingston upon Thames 013C,3,3. Associate professional and technical occupations,179
E01002993,Kingston upon Thames 013C,4,4. Administrative and secretarial occupations,69
E01002993,Kingston upon Thames 013C,5,5. Skilled trades occupations,58
E01002993,Kingston upon Thames 013C,6,"6. Caring, leisure and other service occupations",47
E01002993,Kingston upon Thames 013C,7,7. Sales and customer service occupations,50
E01002993,Kingston upon Thames 013C,8,"8. Process, plant and machine operatives",28
E01002993,Kingston upon Thames 013C,9,9. Elementary occupations,43
E01002994,Kingston upon Thames 016A,-8,Does not apply,794
E01002994,Kingston upon Thames 016A,1,"1. Managers, directors and senior officials",143
E01002994,Kingston upon Thames 016A,2,2. Professional occupations,245
E01002994,Kingston upon Thames 016A,3,3. Associate professional and technical occupations,121
E01002994,Kingston upon Thames 016A,4,4. Administrative and secretarial occupations,51
E01002994,Kingston upon Thames 016A,5,5. Skilled trades occupations,28
E01002994,Kingston upon Thames 016A,6,"6. Caring, leisure and other service occupations",49
E01002994,Kingston upon Thames 016A,7,7. Sales and customer service occupations,29
E01002994,Kingston upon Thames 016A,8,"8. Process, plant and machine operatives",24
E01002994,Kingston upon Thames 016A,9,9. Elementary occupations,25
E01002995,Kingston upon Thames 013D,-8,Does not apply,777
E01002995,Kingston upon Thames 013D,1,"1. Managers, directors and senior officials",212
E01002995,Kingston upon Thames 013D,2,2. Professional occupations,283
E01002995,Kingston upon Thames 013D,3,3. Associate professional and technical occupations,163
E01002995,Kingston upon Thames 013D,4,4. Administrative and secretarial occupations,54
E01002995,Kingston upon Thames 013D,5,5. Skilled trades occupations,20
E01002995,Kingston upon Thames 013D,6,"6. Caring, leisure and other service occupations",40
E01002995,Kingston upon Thames 013D,7,7. Sales and customer service occupations,23
E01002995,Kingston upon Thames 013D,8,"8. Process, plant and machine operatives",14
E01002995,Kingston upon Thames 013D,9,9. Elementary occupations,13
E01002996,Kingston upon Thames 016B,-8,Does not apply,736
E01002996,Kingston upon Thames 016B,1,"1. Managers, directors and senior officials",156
E01002996,Kingston upon Thames 016B,2,2. Professional occupations,246
E01002996,Kingston upon Thames 016B,3,3. Associate professional and technical occupations,142
E01002996,Kingston upon Thames 016B,4,4. Administrative and secretarial occupations,63
E01002996,Kingston upon Thames 016B,5,5. Skilled trades occupations,56
E01002996,Kingston upon Thames 016B,6,"6. Caring, leisure and other service occupations",41
E01002996,Kingston upon Thames 016B,7,7. Sales and customer service occupations,39
E01002996,Kingston upon Thames 016B,8,"8. Process, plant and machine operatives",21
E01002996,Kingston upon Thames 016B,9,9. Elementary occupations,45
E01002997,Kingston upon Thames 016C,-8,Does not apply,678
E01002997,Kingston upon Thames 016C,1,"1. Managers, directors and senior officials",211
E01002997,Kingston upon Thames 016C,2,2. Professional occupations,263
E01002997,Kingston upon Thames 016C,3,3. Associate professional and technical occupations,146
E01002997,Kingston upon Thames 016C,4,4. Administrative and secretarial occupations,72
E01002997,Kingston upon Thames 016C,5,5. Skilled trades occupations,33
E01002997,Kingston upon Thames 016C,6,"6. Caring, leisure and other service occupations",57
E01002997,Kingston upon Thames 016C,7,7. Sales and customer service occupations,33
E01002997,Kingston upon Thames 016C,8,"8. Process, plant and machine operatives",14
E01002997,Kingston upon Thames 016C,9,9. Elementary occupations,20
E01002998,Kingston upon Thames 016D,-8,Does not apply,822
E01002998,Kingston upon Thames 016D,1,"1. Managers, directors and senior officials",118
E01002998,Kingston upon Thames 016D,2,2. Professional occupations,216
E01002998,Kingston upon Thames 016D,3,3. Associate professional and technical occupations,131
E01002998,Kingston upon Thames 016D,4,4. Administrative and secretarial occupations,60
E01002998,Kingston upon Thames 016D,5,5. Skilled trades occupations,59
E01002998,Kingston upon Thames 016D,6,"6. Caring, leisure and other service occupations",68
E01002998,Kingston upon Thames 016D,7,7. Sales and customer service occupations,48
E01002998,Kingston upon Thames 016D,8,"8. Process, plant and machine operatives",31
E01002998,Kingston upon Thames 016D,9,9. Elementary occupations,59
E01002999,Kingston upon Thames 013E,-8,Does not apply,618
E01002999,Kingston upon Thames 013E,1,"1. Managers, directors and senior officials",125
E01002999,Kingston upon Thames 013E,2,2. Professional occupations,283
E01002999,Kingston upon Thames 013E,3,3. Associate professional and technical occupations,187
E01002999,Kingston upon Thames 013E,4,4. Administrative and secretarial occupations,69
E01002999,Kingston upon Thames 013E,5,5. Skilled trades occupations,59
E01002999,Kingston upon Thames 013E,6,"6. Caring, leisure and other service occupations",55
E01002999,Kingston upon Thames 013E,7,7. Sales and customer service occupations,36
E01002999,Kingston upon Thames 013E,8,"8. Process, plant and machine operatives",31
E01002999,Kingston upon Thames 013E,9,9. Elementary occupations,73
E01003000,Kingston upon Thames 017C,-8,Does not apply,949
E01003000,Kingston upon Thames 017C,1,"1. Managers, directors and senior officials",121
E01003000,Kingston upon Thames 017C,2,2. Professional occupations,227
E01003000,Kingston upon Thames 017C,3,3. Associate professional and technical occupations,134
E01003000,Kingston upon Thames 017C,4,4. Administrative and secretarial occupations,79
E01003000,Kingston upon Thames 017C,5,5. Skilled trades occupations,81
E01003000,Kingston upon Thames 017C,6,"6. Caring, leisure and other service occupations",84
E01003000,Kingston upon Thames 017C,7,7. Sales and customer service occupations,78
E01003000,Kingston upon Thames 017C,8,"8. Process, plant and machine operatives",44
E01003000,Kingston upon Thames 017C,9,9. Elementary occupations,71
E01003001,Kingston upon Thames 017D,-8,Does not apply,927
E01003001,Kingston upon Thames 017D,1,"1. Managers, directors and senior officials",137
E01003001,Kingston upon Thames 017D,2,2. Professional occupations,242
E01003001,Kingston upon Thames 017D,3,3. Associate professional and technical occupations,116
E01003001,Kingston upon Thames 017D,4,4. Administrative and secretarial occupations,100
E01003001,Kingston upon Thames 017D,5,5. Skilled trades occupations,76
E01003001,Kingston upon Thames 017D,6,"6. Caring, leisure and other service occupations",71
E01003001,Kingston upon Thames 017D,7,7. Sales and customer service occupations,113
E01003001,Kingston upon Thames 017D,8,"8. Process, plant and machine operatives",48
E01003001,Kingston upon Thames 017D,9,9. Elementary occupations,86
E01003002,Kingston upon Thames 016E,-8,Does not apply,936
E01003002,Kingston upon Thames 016E,1,"1. Managers, directors and senior officials",141
E01003002,Kingston upon Thames 016E,2,2. Professional occupations,262
E01003002,Kingston upon Thames 016E,3,3. Associate professional and technical occupations,146
E01003002,Kingston upon Thames 016E,4,4. Administrative and secretarial occupations,72
E01003002,Kingston upon Thames 016E,5,5. Skilled trades occupations,97
E01003002,Kingston upon Thames 016E,6,"6. Caring, leisure and other service occupations",65
E01003002,Kingston upon Thames 016E,7,7. Sales and customer service occupations,56
E01003002,Kingston upon Thames 016E,8,"8. Process, plant and machine operatives",43
E01003002,Kingston upon Thames 016E,9,9. Elementary occupations,85
E01003003,Kingston upon Thames 017E,-8,Does not apply,862
E01003003,Kingston upon Thames 017E,1,"1. Managers, directors and senior officials",122
E01003003,Kingston upon Thames 017E,2,2. Professional occupations,181
E01003003,Kingston upon Thames 017E,3,3. Associate professional and technical occupations,111
E01003003,Kingston upon Thames 017E,4,4. Administrative and secretarial occupations,68
E01003003,Kingston upon Thames 017E,5,5. Skilled trades occupations,75
E01003003,Kingston upon Thames 017E,6,"6. Caring, leisure and other service occupations",82
E01003003,Kingston upon Thames 017E,7,7. Sales and customer service occupations,71
E01003003,Kingston upon Thames 017E,8,"8. Process, plant and machine operatives",60
E01003003,Kingston upon Thames 017E,9,9. Elementary occupations,96
E01003004,Kingston upon Thames 018D,-8,Does not apply,774
E01003004,Kingston upon Thames 018D,1,"1. Managers, directors and senior officials",125
E01003004,Kingston upon Thames 018D,2,2. Professional occupations,190
E01003004,Kingston upon Thames 018D,3,3. Associate professional and technical occupations,127
E01003004,Kingston upon Thames 018D,4,4. Administrative and secretarial occupations,81
E01003004,Kingston upon Thames 018D,5,5. Skilled trades occupations,102
E01003004,Kingston upon Thames 018D,6,"6. Caring, leisure and other service occupations",72
E01003004,Kingston upon Thames 018D,7,7. Sales and customer service occupations,58
E01003004,Kingston upon Thames 018D,8,"8. Process, plant and machine operatives",53
E01003004,Kingston upon Thames 018D,9,9. Elementary occupations,61
E01003005,Kingston upon Thames 018E,-8,Does not apply,724
E01003005,Kingston upon Thames 018E,1,"1. Managers, directors and senior officials",113
E01003005,Kingston upon Thames 018E,2,2. Professional occupations,140
E01003005,Kingston upon Thames 018E,3,3. Associate professional and technical occupations,116
E01003005,Kingston upon Thames 018E,4,4. Administrative and secretarial occupations,106
E01003005,Kingston upon Thames 018E,5,5. Skilled trades occupations,106
E01003005,Kingston upon Thames 018E,6,"6. Caring, leisure and other service occupations",85
E01003005,Kingston upon Thames 018E,7,7. Sales and customer service occupations,49
E01003005,Kingston upon Thames 018E,8,"8. Process, plant and machine operatives",34
E01003005,Kingston upon Thames 018E,9,9. Elementary occupations,68
E01003006,Kingston upon Thames 001A,-8,Does not apply,816
E01003006,Kingston upon Thames 001A,1,"1. Managers, directors and senior officials",178
E01003006,Kingston upon Thames 001A,2,2. Professional occupations,203
E01003006,Kingston upon Thames 001A,3,3. Associate professional and technical occupations,124
E01003006,Kingston upon Thames 001A,4,4. Administrative and secretarial occupations,64
E01003006,Kingston upon Thames 001A,5,5. Skilled trades occupations,30
E01003006,Kingston upon Thames 001A,6,"6. Caring, leisure and other service occupations",35
E01003006,Kingston upon Thames 001A,7,7. Sales and customer service occupations,29
E01003006,Kingston upon Thames 001A,8,"8. Process, plant and machine operatives",16
E01003006,Kingston upon Thames 001A,9,9. Elementary occupations,27
E01003007,Kingston upon Thames 001B,-8,Does not apply,884
E01003007,Kingston upon Thames 001B,1,"1. Managers, directors and senior officials",172
E01003007,Kingston upon Thames 001B,2,2. Professional occupations,229
E01003007,Kingston upon Thames 001B,3,3. Associate professional and technical occupations,130
E01003007,Kingston upon Thames 001B,4,4. Administrative and secretarial occupations,63
E01003007,Kingston upon Thames 001B,5,5. Skilled trades occupations,32
E01003007,Kingston upon Thames 001B,6,"6. Caring, leisure and other service occupations",37
E01003007,Kingston upon Thames 001B,7,7. Sales and customer service occupations,36
E01003007,Kingston upon Thames 001B,8,"8. Process, plant and machine operatives",12
E01003007,Kingston upon Thames 001B,9,9. Elementary occupations,31
E01003008,Kingston upon Thames 001C,-8,Does not apply,765
E01003008,Kingston upon Thames 001C,1,"1. Managers, directors and senior officials",146
E01003008,Kingston upon Thames 001C,2,2. Professional occupations,246
E01003008,Kingston upon Thames 001C,3,3. Associate professional and technical occupations,112
E01003008,Kingston upon Thames 001C,4,4. Administrative and secretarial occupations,57
E01003008,Kingston upon Thames 001C,5,5. Skilled trades occupations,18
E01003008,Kingston upon Thames 001C,6,"6. Caring, leisure and other service occupations",36
E01003008,Kingston upon Thames 001C,7,7. Sales and customer service occupations,34
E01003008,Kingston upon Thames 001C,8,"8. Process, plant and machine operatives",8
E01003008,Kingston upon Thames 001C,9,9. Elementary occupations,25
E01003009,Kingston upon Thames 001D,-8,Does not apply,1092
E01003009,Kingston upon Thames 001D,1,"1. Managers, directors and senior officials",179
E01003009,Kingston upon Thames 001D,2,2. Professional occupations,319
E01003009,Kingston upon Thames 001D,3,3. Associate professional and technical occupations,167
E01003009,Kingston upon Thames 001D,4,4. Administrative and secretarial occupations,77
E01003009,Kingston upon Thames 001D,5,5. Skilled trades occupations,56
E01003009,Kingston upon Thames 001D,6,"6. Caring, leisure and other service occupations",74
E01003009,Kingston upon Thames 001D,7,7. Sales and customer service occupations,29
E01003009,Kingston upon Thames 001D,8,"8. Process, plant and machine operatives",27
E01003009,Kingston upon Thames 001D,9,9. Elementary occupations,36
E01003010,Kingston upon Thames 001E,-8,Does not apply,704
E01003010,Kingston upon Thames 001E,1,"1. Managers, directors and senior officials",183
E01003010,Kingston upon Thames 001E,2,2. Professional occupations,243
E01003010,Kingston upon Thames 001E,3,3. Associate professional and technical occupations,126
E01003010,Kingston upon Thames 001E,4,4. Administrative and secretarial occupations,57
E01003010,Kingston upon Thames 001E,5,5. Skilled trades occupations,31
E01003010,Kingston upon Thames 001E,6,"6. Caring, leisure and other service occupations",43
E01003010,Kingston upon Thames 001E,7,7. Sales and customer service occupations,34
E01003010,Kingston upon Thames 001E,8,"8. Process, plant and machine operatives",8
E01003010,Kingston upon Thames 001E,9,9. Elementary occupations,14
E01003011,Kingston upon Thames 004E,-8,Does not apply,898
E01003011,Kingston upon Thames 004E,1,"1. Managers, directors and senior officials",200
E01003011,Kingston upon Thames 004E,2,2. Professional occupations,267
E01003011,Kingston upon Thames 004E,3,3. Associate professional and technical occupations,139
E01003011,Kingston upon Thames 004E,4,4. Administrative and secretarial occupations,73
E01003011,Kingston upon Thames 004E,5,5. Skilled trades occupations,21
E01003011,Kingston upon Thames 004E,6,"6. Caring, leisure and other service occupations",37
E01003011,Kingston upon Thames 004E,7,7. Sales and customer service occupations,27
E01003011,Kingston upon Thames 004E,8,"8. Process, plant and machine operatives",9
E01003011,Kingston upon Thames 004E,9,9. Elementary occupations,23
E01003013,Lambeth 036A,-8,Does not apply,1012
E01003013,Lambeth 036A,1,"1. Managers, directors and senior officials",146
E01003013,Lambeth 036A,2,2. Professional occupations,422
E01003013,Lambeth 036A,3,3. Associate professional and technical occupations,170
E01003013,Lambeth 036A,4,4. Administrative and secretarial occupations,58
E01003013,Lambeth 036A,5,5. Skilled trades occupations,18
E01003013,Lambeth 036A,6,"6. Caring, leisure and other service occupations",33
E01003013,Lambeth 036A,7,7. Sales and customer service occupations,30
E01003013,Lambeth 036A,8,"8. Process, plant and machine operatives",6
E01003013,Lambeth 036A,9,9. Elementary occupations,52
E01003014,Lambeth 036B,-8,Does not apply,787
E01003014,Lambeth 036B,1,"1. Managers, directors and senior officials",95
E01003014,Lambeth 036B,2,2. Professional occupations,207
E01003014,Lambeth 036B,3,3. Associate professional and technical occupations,129
E01003014,Lambeth 036B,4,4. Administrative and secretarial occupations,37
E01003014,Lambeth 036B,5,5. Skilled trades occupations,46
E01003014,Lambeth 036B,6,"6. Caring, leisure and other service occupations",60
E01003014,Lambeth 036B,7,7. Sales and customer service occupations,34
E01003014,Lambeth 036B,8,"8. Process, plant and machine operatives",23
E01003014,Lambeth 036B,9,9. Elementary occupations,86
E01003015,Lambeth 002A,-8,Does not apply,833
E01003015,Lambeth 002A,1,"1. Managers, directors and senior officials",90
E01003015,Lambeth 002A,2,2. Professional occupations,242
E01003015,Lambeth 002A,3,3. Associate professional and technical occupations,169
E01003015,Lambeth 002A,4,4. Administrative and secretarial occupations,62
E01003015,Lambeth 002A,5,5. Skilled trades occupations,46
E01003015,Lambeth 002A,6,"6. Caring, leisure and other service occupations",71
E01003015,Lambeth 002A,7,7. Sales and customer service occupations,50
E01003015,Lambeth 002A,8,"8. Process, plant and machine operatives",47
E01003015,Lambeth 002A,9,9. Elementary occupations,109
E01003016,Lambeth 036C,-8,Does not apply,677
E01003016,Lambeth 036C,1,"1. Managers, directors and senior officials",82
E01003016,Lambeth 036C,2,2. Professional occupations,196
E01003016,Lambeth 036C,3,3. Associate professional and technical occupations,84
E01003016,Lambeth 036C,4,4. Administrative and secretarial occupations,38
E01003016,Lambeth 036C,5,5. Skilled trades occupations,20
E01003016,Lambeth 036C,6,"6. Caring, leisure and other service occupations",31
E01003016,Lambeth 036C,7,7. Sales and customer service occupations,29
E01003016,Lambeth 036C,8,"8. Process, plant and machine operatives",11
E01003016,Lambeth 036C,9,9. Elementary occupations,35
E01003017,Lambeth 036D,-8,Does not apply,788
E01003017,Lambeth 036D,1,"1. Managers, directors and senior officials",123
E01003017,Lambeth 036D,2,2. Professional occupations,264
E01003017,Lambeth 036D,3,3. Associate professional and technical occupations,140
E01003017,Lambeth 036D,4,4. Administrative and secretarial occupations,76
E01003017,Lambeth 036D,5,5. Skilled trades occupations,40
E01003017,Lambeth 036D,6,"6. Caring, leisure and other service occupations",52
E01003017,Lambeth 036D,7,7. Sales and customer service occupations,40
E01003017,Lambeth 036D,8,"8. Process, plant and machine operatives",34
E01003017,Lambeth 036D,9,9. Elementary occupations,76
E01003018,Lambeth 020A,-8,Does not apply,566
E01003018,Lambeth 020A,1,"1. Managers, directors and senior officials",215
E01003018,Lambeth 020A,2,2. Professional occupations,545
E01003018,Lambeth 020A,3,3. Associate professional and technical occupations,328
E01003018,Lambeth 020A,4,4. Administrative and secretarial occupations,86
E01003018,Lambeth 020A,5,5. Skilled trades occupations,63
E01003018,Lambeth 020A,6,"6. Caring, leisure and other service occupations",62
E01003018,Lambeth 020A,7,7. Sales and customer service occupations,45
E01003018,Lambeth 020A,8,"8. Process, plant and machine operatives",29
E01003018,Lambeth 020A,9,9. Elementary occupations,80
E01003019,Lambeth 015A,-8,Does not apply,570
E01003019,Lambeth 015A,1,"1. Managers, directors and senior officials",237
E01003019,Lambeth 015A,2,2. Professional occupations,585
E01003019,Lambeth 015A,3,3. Associate professional and technical occupations,314
E01003019,Lambeth 015A,4,4. Administrative and secretarial occupations,110
E01003019,Lambeth 015A,5,5. Skilled trades occupations,37
E01003019,Lambeth 015A,6,"6. Caring, leisure and other service occupations",62
E01003019,Lambeth 015A,7,7. Sales and customer service occupations,50
E01003019,Lambeth 015A,8,"8. Process, plant and machine operatives",16
E01003019,Lambeth 015A,9,9. Elementary occupations,56
E01003020,Lambeth 016A,-8,Does not apply,702
E01003020,Lambeth 016A,1,"1. Managers, directors and senior officials",153
E01003020,Lambeth 016A,2,2. Professional occupations,417
E01003020,Lambeth 016A,3,3. Associate professional and technical occupations,249
E01003020,Lambeth 016A,4,4. Administrative and secretarial occupations,65
E01003020,Lambeth 016A,5,5. Skilled trades occupations,47
E01003020,Lambeth 016A,6,"6. Caring, leisure and other service occupations",44
E01003020,Lambeth 016A,7,7. Sales and customer service occupations,52
E01003020,Lambeth 016A,8,"8. Process, plant and machine operatives",16
E01003020,Lambeth 016A,9,9. Elementary occupations,76
E01003021,Lambeth 021A,-8,Does not apply,1329
E01003021,Lambeth 021A,1,"1. Managers, directors and senior officials",93
E01003021,Lambeth 021A,2,2. Professional occupations,210
E01003021,Lambeth 021A,3,3. Associate professional and technical occupations,122
E01003021,Lambeth 021A,4,4. Administrative and secretarial occupations,58
E01003021,Lambeth 021A,5,5. Skilled trades occupations,74
E01003021,Lambeth 021A,6,"6. Caring, leisure and other service occupations",82
E01003021,Lambeth 021A,7,7. Sales and customer service occupations,38
E01003021,Lambeth 021A,8,"8. Process, plant and machine operatives",36
E01003021,Lambeth 021A,9,9. Elementary occupations,112
E01003022,Lambeth 021B,-8,Does not apply,570
E01003022,Lambeth 021B,1,"1. Managers, directors and senior officials",170
E01003022,Lambeth 021B,2,2. Professional occupations,347
E01003022,Lambeth 021B,3,3. Associate professional and technical occupations,228
E01003022,Lambeth 021B,4,4. Administrative and secretarial occupations,68
E01003022,Lambeth 021B,5,5. Skilled trades occupations,47
E01003022,Lambeth 021B,6,"6. Caring, leisure and other service occupations",58
E01003022,Lambeth 021B,7,7. Sales and customer service occupations,38
E01003022,Lambeth 021B,8,"8. Process, plant and machine operatives",26
E01003022,Lambeth 021B,9,9. Elementary occupations,62
E01003023,Lambeth 021C,-8,Does not apply,931
E01003023,Lambeth 021C,1,"1. Managers, directors and senior officials",201
E01003023,Lambeth 021C,2,2. Professional occupations,481
E01003023,Lambeth 021C,3,3. Associate professional and technical occupations,374
