	lsoa11cd,imd_rank,imd_dec
E01000468,13661,5
E01000469,14434,5
E01000470,4777,2
E01000471,13163,5
E01000472,12105,4
E01000473,10632,4
E01000474,12945,4
E01000475,13473,5
E01000476,14647,5
E01000477,11703,4
E01000478,11562,4
E01000479,18106,6
E01000480,22429,7
E01000481,9179,3
E01000482,6542,2
E01000483,6463,2
E01000484,4689,2
E01000485,8179,3
E01000486,18391,6
E01000487,16441,6
E01000488,11178,4
E01000489,11883,4
E01000490,11248,4
E01000491,13387,5
E01000492,20615,7
E01000493,21822,7
E01000494,14784,5
E01000495,6848,3
E01000497,11593,4
E01000498,6869,3
E01000499,9517,3
E01000501,5656,2
E01000502,8665,3
E01000503,8720,3
E01000504,13251,5
E01000505,14065,5
E01000506,7823,3
E01000507,12769,4
E01000508,4930,2
E01000509,6199,2
E01000510,7979,3
E01000511,7553,3
E01000512,15315,5
E01000513,18437,6
E01000514,19311,6
E01000515,9286,3
E01000516,14898,5
E01000517,20424,7
E01000518,10230,4
E01000519,14037,5
E01000520,13856,5
E01000521,1713,1
E01000522,7331,3
E01000523,7193,3
E01000524,3221,1
E01000525,6401,2
E01000526,3682,2
E01000527,6182,2
E01000528,2844,1
E01000530,18359,6
E01000531,10593,4
E01000532,12698,4
E01000533,4690,2
E01000534,14890,5
E01000535,8193,3
E01000536,23043,8
E01000538,25022,8
E01000539,25260,8
E01000540,23930,8
E01000541,19152,6
E01000543,13232,5
E01000544,6429,2
E01000545,7854,3
E01000546,12520,4
E01000547,12266,4
E01000548,6791,3
E01000549,16885,6
E01000550,6026,2
E01000551,3943,2
E01000552,3375,2
E01000553,8467,3
E01000554,13528,5
E01000555,17999,6
E01000556,7082,3
E01000557,11719,4
E01000558,9694,3
E01000559,12685,4
E01000560,15170,5
E01000561,10941,4
E01000562,23487,8
E01000563,25021,8
E01000564,16724,6
E01000565,11437,4
E01000566,19130,6
E01000567,15988,5
E01000568,19684,6
E01000569,25177,8
E01000570,11328,4
E01000571,12576,4
E01000572,21873,7
E01000573,20580,7
E01000574,23631,8
E01000575,16668,6
E01000576,17462,6
E01000577,6835,3
E01000578,8553,3
E01000579,8541,3
E01000580,14258,5
E01000581,18404,6
E01000582,19625,6
E01000583,13321,5
E01000584,19420,6
E01000585,19713,7
E01000586,13162,5
E01000587,18908,6
E01000588,10086,4
E01000589,15004,5
E01000590,15271,5
E01000591,13852,5
E01000592,13808,5
E01000593,14685,5
E01000594,16924,6
E01000595,2994,1
E01000596,2747,1
E01000599,1969,1
E01000600,5250,2
E01000601,1192,1
E01000602,4335,2
E01000603,4557,2
E01000604,3443,2
E01000605,2954,1
E01000606,14627,5
E01000607,15403,5
E01000608,12668,4
E01000609,13560,5
E01000610,10807,4
E01000611,11357,4
E01000612,12061,4
E01000613,10614,4
E01000615,14567,5
E01000616,13069,4
E01000617,11317,4
E01000618,12895,4
E01000619,14873,5
E01000620,13624,5
E01000621,10660,4
E01000622,7963,3
E01000623,17826,6
E01000624,15459,5
E01000625,12420,4
E01000626,3361,2
E01000627,4522,2
E01000628,6391,2
E01000629,18148,6
E01000630,8671,3
E01000631,17121,6
E01000632,15543,5
E01000633,11067,4
E01000634,12873,4
E01000635,8174,3
E01000636,15999,5
E01000637,11819,4
E01000638,8516,3
E01000639,12728,4
E01000640,9599,3
E01000641,7673,3
E01000642,9415,3
