Lower layer Super Output Areas Code,Lower layer Super Output Areas,Age (5 categories) Code,Age (5 categories),Observation
E01000326,Bexley 014B,5,Aged 50 years and over,387
E01000327,Bexley 017A,1,Aged 15 years and under,313
E01000327,Bexley 017A,2,Aged 16 to 24 years,148
E01000327,Bexley 017A,3,Aged 25 to 34 years,135
E01000327,Bexley 017A,4,Aged 35 to 49 years,307
E01000327,Bexley 017A,5,Aged 50 years and over,726
E01000328,Bexley 017B,1,Aged 15 years and under,324
E01000328,Bexley 017B,2,Aged 16 to 24 years,150
E01000328,Bexley 017B,3,Aged 25 to 34 years,159
E01000328,Bexley 017B,4,Aged 35 to 49 years,328
E01000328,Bexley 017B,5,Aged 50 years and over,675
E01000329,Bexley 017C,1,Aged 15 years and under,373
E01000329,Bexley 017C,2,Aged 16 to 24 years,158
E01000329,Bexley 017C,3,Aged 25 to 34 years,231
E01000329,Bexley 017C,4,Aged 35 to 49 years,347
E01000329,Bexley 017C,5,Aged 50 years and over,588
E01000330,Bexley 017D,1,Aged 15 years and under,286
E01000330,Bexley 017D,2,Aged 16 to 24 years,124
E01000330,Bexley 017D,3,Aged 25 to 34 years,217
E01000330,Bexley 017D,4,Aged 35 to 49 years,329
E01000330,Bexley 017D,5,Aged 50 years and over,698
E01000331,Bexley 017E,1,Aged 15 years and under,394
E01000331,Bexley 017E,2,Aged 16 to 24 years,171
E01000331,Bexley 017E,3,Aged 25 to 34 years,213
E01000331,Bexley 017E,4,Aged 35 to 49 years,359
E01000331,Bexley 017E,5,Aged 50 years and over,549
E01000332,Bexley 005A,1,Aged 15 years and under,273
E01000332,Bexley 005A,2,Aged 16 to 24 years,150
E01000332,Bexley 005A,3,Aged 25 to 34 years,200
E01000332,Bexley 005A,4,Aged 35 to 49 years,306
E01000332,Bexley 005A,5,Aged 50 years and over,663
E01000333,Bexley 003A,1,Aged 15 years and under,412
E01000333,Bexley 003A,2,Aged 16 to 24 years,173
E01000333,Bexley 003A,3,Aged 25 to 34 years,294
E01000333,Bexley 003A,4,Aged 35 to 49 years,411
E01000333,Bexley 003A,5,Aged 50 years and over,627
E01000334,Bexley 006A,1,Aged 15 years and under,354
E01000334,Bexley 006A,2,Aged 16 to 24 years,156
E01000334,Bexley 006A,3,Aged 25 to 34 years,203
E01000334,Bexley 006A,4,Aged 35 to 49 years,333
E01000334,Bexley 006A,5,Aged 50 years and over,630
E01000335,Bexley 003B,1,Aged 15 years and under,607
E01000335,Bexley 003B,2,Aged 16 to 24 years,275
E01000335,Bexley 003B,3,Aged 25 to 34 years,569
E01000335,Bexley 003B,4,Aged 35 to 49 years,661
E01000335,Bexley 003B,5,Aged 50 years and over,614
E01000336,Bexley 003C,1,Aged 15 years and under,513
E01000336,Bexley 003C,2,Aged 16 to 24 years,223
E01000336,Bexley 003C,3,Aged 25 to 34 years,296
E01000336,Bexley 003C,4,Aged 35 to 49 years,443
E01000336,Bexley 003C,5,Aged 50 years and over,523
E01000337,Bexley 003D,1,Aged 15 years and under,409
E01000337,Bexley 003D,2,Aged 16 to 24 years,175
E01000337,Bexley 003D,3,Aged 25 to 34 years,277
E01000337,Bexley 003D,4,Aged 35 to 49 years,356
E01000337,Bexley 003D,5,Aged 50 years and over,522
E01000338,Bexley 003E,1,Aged 15 years and under,385
E01000338,Bexley 003E,2,Aged 16 to 24 years,186
E01000338,Bexley 003E,3,Aged 25 to 34 years,299
E01000338,Bexley 003E,4,Aged 35 to 49 years,439
E01000338,Bexley 003E,5,Aged 50 years and over,545
E01000339,Bexley 025A,1,Aged 15 years and under,330
E01000339,Bexley 025A,2,Aged 16 to 24 years,188
E01000339,Bexley 025A,3,Aged 25 to 34 years,184
E01000339,Bexley 025A,4,Aged 35 to 49 years,295
E01000339,Bexley 025A,5,Aged 50 years and over,622
E01000340,Bexley 018A,1,Aged 15 years and under,314
E01000340,Bexley 018A,2,Aged 16 to 24 years,155
E01000340,Bexley 018A,3,Aged 25 to 34 years,180
E01000340,Bexley 018A,4,Aged 35 to 49 years,315
E01000340,Bexley 018A,5,Aged 50 years and over,621
E01000341,Bexley 022A,1,Aged 15 years and under,257
E01000341,Bexley 022A,2,Aged 16 to 24 years,159
E01000341,Bexley 022A,3,Aged 25 to 34 years,143
E01000341,Bexley 022A,4,Aged 35 to 49 years,267
E01000341,Bexley 022A,5,Aged 50 years and over,715
E01000342,Bexley 022B,1,Aged 15 years and under,283
E01000342,Bexley 022B,2,Aged 16 to 24 years,138
E01000342,Bexley 022B,3,Aged 25 to 34 years,212
E01000342,Bexley 022B,4,Aged 35 to 49 years,306
E01000342,Bexley 022B,5,Aged 50 years and over,585
E01000343,Bexley 022C,1,Aged 15 years and under,305
E01000343,Bexley 022C,2,Aged 16 to 24 years,145
E01000343,Bexley 022C,3,Aged 25 to 34 years,169
E01000343,Bexley 022C,4,Aged 35 to 49 years,304
E01000343,Bexley 022C,5,Aged 50 years and over,587
E01000344,Bexley 025B,1,Aged 15 years and under,298
E01000344,Bexley 025B,2,Aged 16 to 24 years,189
E01000344,Bexley 025B,3,Aged 25 to 34 years,175
E01000344,Bexley 025B,4,Aged 35 to 49 years,313
E01000344,Bexley 025B,5,Aged 50 years and over,617
E01000345,Bexley 022D,1,Aged 15 years and under,250
E01000345,Bexley 022D,2,Aged 16 to 24 years,132
E01000345,Bexley 022D,3,Aged 25 to 34 years,151
E01000345,Bexley 022D,4,Aged 35 to 49 years,239
E01000345,Bexley 022D,5,Aged 50 years and over,570
E01000346,Bexley 021A,1,Aged 15 years and under,307
E01000346,Bexley 021A,2,Aged 16 to 24 years,157
E01000346,Bexley 021A,3,Aged 25 to 34 years,203
E01000346,Bexley 021A,4,Aged 35 to 49 years,312
E01000346,Bexley 021A,5,Aged 50 years and over,610
E01000347,Bexley 021B,1,Aged 15 years and under,294
E01000347,Bexley 021B,2,Aged 16 to 24 years,159
E01000347,Bexley 021B,3,Aged 25 to 34 years,213
E01000347,Bexley 021B,4,Aged 35 to 49 years,267
E01000347,Bexley 021B,5,Aged 50 years and over,588
E01000348,Bexley 020A,1,Aged 15 years and under,290
E01000348,Bexley 020A,2,Aged 16 to 24 years,152
E01000348,Bexley 020A,3,Aged 25 to 34 years,135
E01000348,Bexley 020A,4,Aged 35 to 49 years,324
E01000348,Bexley 020A,5,Aged 50 years and over,613
E01000349,Bexley 020B,1,Aged 15 years and under,343
E01000349,Bexley 020B,2,Aged 16 to 24 years,163
E01000349,Bexley 020B,3,Aged 25 to 34 years,169
E01000349,Bexley 020B,4,Aged 35 to 49 years,340
E01000349,Bexley 020B,5,Aged 50 years and over,707
E01000350,Bexley 021C,1,Aged 15 years and under,272
E01000350,Bexley 021C,2,Aged 16 to 24 years,190
E01000350,Bexley 021C,3,Aged 25 to 34 years,182
E01000350,Bexley 021C,4,Aged 35 to 49 years,291
E01000350,Bexley 021C,5,Aged 50 years and over,550
E01000351,Bexley 024A,1,Aged 15 years and under,294
E01000351,Bexley 024A,2,Aged 16 to 24 years,147
E01000351,Bexley 024A,3,Aged 25 to 34 years,184
E01000351,Bexley 024A,4,Aged 35 to 49 years,312
E01000351,Bexley 024A,5,Aged 50 years and over,676
E01000352,Bexley 021D,1,Aged 15 years and under,329
E01000352,Bexley 021D,2,Aged 16 to 24 years,167
E01000352,Bexley 021D,3,Aged 25 to 34 years,208
E01000352,Bexley 021D,4,Aged 35 to 49 years,318
E01000352,Bexley 021D,5,Aged 50 years and over,596
E01000353,Bexley 011A,1,Aged 15 years and under,249
E01000353,Bexley 011A,2,Aged 16 to 24 years,127
E01000353,Bexley 011A,3,Aged 25 to 34 years,133
E01000353,Bexley 011A,4,Aged 35 to 49 years,285
E01000353,Bexley 011A,5,Aged 50 years and over,843
E01000354,Bexley 011B,1,Aged 15 years and under,259
E01000354,Bexley 011B,2,Aged 16 to 24 years,164
E01000354,Bexley 011B,3,Aged 25 to 34 years,180
E01000354,Bexley 011B,4,Aged 35 to 49 years,274
E01000354,Bexley 011B,5,Aged 50 years and over,615
E01000355,Bexley 011C,1,Aged 15 years and under,211
E01000355,Bexley 011C,2,Aged 16 to 24 years,118
E01000355,Bexley 011C,3,Aged 25 to 34 years,158
E01000355,Bexley 011C,4,Aged 35 to 49 years,233
E01000355,Bexley 011C,5,Aged 50 years and over,721
E01000356,Bexley 009A,1,Aged 15 years and under,295
E01000356,Bexley 009A,2,Aged 16 to 24 years,112
E01000356,Bexley 009A,3,Aged 25 to 34 years,157
E01000356,Bexley 009A,4,Aged 35 to 49 years,294
E01000356,Bexley 009A,5,Aged 50 years and over,710
E01000357,Bexley 009B,1,Aged 15 years and under,275
E01000357,Bexley 009B,2,Aged 16 to 24 years,156
E01000357,Bexley 009B,3,Aged 25 to 34 years,134
E01000357,Bexley 009B,4,Aged 35 to 49 years,293
E01000357,Bexley 009B,5,Aged 50 years and over,545
E01000358,Bexley 011D,1,Aged 15 years and under,301
E01000358,Bexley 011D,2,Aged 16 to 24 years,145
E01000358,Bexley 011D,3,Aged 25 to 34 years,205
E01000358,Bexley 011D,4,Aged 35 to 49 years,327
E01000358,Bexley 011D,5,Aged 50 years and over,680
E01000359,Bexley 009C,1,Aged 15 years and under,211
E01000359,Bexley 009C,2,Aged 16 to 24 years,118
E01000359,Bexley 009C,3,Aged 25 to 34 years,131
E01000359,Bexley 009C,4,Aged 35 to 49 years,237
E01000359,Bexley 009C,5,Aged 50 years and over,566
E01000360,Bexley 015A,1,Aged 15 years and under,350
E01000360,Bexley 015A,2,Aged 16 to 24 years,168
E01000360,Bexley 015A,3,Aged 25 to 34 years,287
E01000360,Bexley 015A,4,Aged 35 to 49 years,411
E01000360,Bexley 015A,5,Aged 50 years and over,695
E01000361,Bexley 020C,1,Aged 15 years and under,320
E01000361,Bexley 020C,2,Aged 16 to 24 years,143
E01000361,Bexley 020C,3,Aged 25 to 34 years,213
E01000361,Bexley 020C,4,Aged 35 to 49 years,320
E01000361,Bexley 020C,5,Aged 50 years and over,595
E01000362,Bexley 015B,1,Aged 15 years and under,366
E01000362,Bexley 015B,2,Aged 16 to 24 years,155
E01000362,Bexley 015B,3,Aged 25 to 34 years,292
E01000362,Bexley 015B,4,Aged 35 to 49 years,377
E01000362,Bexley 015B,5,Aged 50 years and over,672
E01000363,Bexley 020D,1,Aged 15 years and under,300
E01000363,Bexley 020D,2,Aged 16 to 24 years,147
E01000363,Bexley 020D,3,Aged 25 to 34 years,165
E01000363,Bexley 020D,4,Aged 35 to 49 years,290
E01000363,Bexley 020D,5,Aged 50 years and over,656
E01000364,Bexley 023A,1,Aged 15 years and under,342
E01000364,Bexley 023A,2,Aged 16 to 24 years,141
E01000364,Bexley 023A,3,Aged 25 to 34 years,198
E01000364,Bexley 023A,4,Aged 35 to 49 years,366
E01000364,Bexley 023A,5,Aged 50 years and over,649
E01000365,Bexley 015C,1,Aged 15 years and under,338
E01000365,Bexley 015C,2,Aged 16 to 24 years,145
E01000365,Bexley 015C,3,Aged 25 to 34 years,198
E01000365,Bexley 015C,4,Aged 35 to 49 years,356
E01000365,Bexley 015C,5,Aged 50 years and over,691
E01000366,Bexley 015D,1,Aged 15 years and under,328
E01000366,Bexley 015D,2,Aged 16 to 24 years,137
E01000366,Bexley 015D,3,Aged 25 to 34 years,216
E01000366,Bexley 015D,4,Aged 35 to 49 years,409
E01000366,Bexley 015D,5,Aged 50 years and over,553
E01000367,Bexley 010A,1,Aged 15 years and under,588
E01000367,Bexley 010A,2,Aged 16 to 24 years,234
E01000367,Bexley 010A,3,Aged 25 to 34 years,345
E01000367,Bexley 010A,4,Aged 35 to 49 years,461
E01000367,Bexley 010A,5,Aged 50 years and over,637
E01000368,Bexley 010B,1,Aged 15 years and under,428
E01000368,Bexley 010B,2,Aged 16 to 24 years,174
E01000368,Bexley 010B,3,Aged 25 to 34 years,213
E01000368,Bexley 010B,4,Aged 35 to 49 years,380
E01000368,Bexley 010B,5,Aged 50 years and over,485
E01000369,Bexley 014C,1,Aged 15 years and under,328
E01000369,Bexley 014C,2,Aged 16 to 24 years,146
E01000369,Bexley 014C,3,Aged 25 to 34 years,193
E01000369,Bexley 014C,4,Aged 35 to 49 years,351
E01000369,Bexley 014C,5,Aged 50 years and over,710
E01000370,Bexley 014D,1,Aged 15 years and under,259
E01000370,Bexley 014D,2,Aged 16 to 24 years,125
E01000370,Bexley 014D,3,Aged 25 to 34 years,178
E01000370,Bexley 014D,4,Aged 35 to 49 years,301
E01000370,Bexley 014D,5,Aged 50 years and over,695
E01000371,Bexley 014E,1,Aged 15 years and under,332
E01000371,Bexley 014E,2,Aged 16 to 24 years,149
E01000371,Bexley 014E,3,Aged 25 to 34 years,245
E01000371,Bexley 014E,4,Aged 35 to 49 years,344
E01000371,Bexley 014E,5,Aged 50 years and over,552
E01000372,Bexley 010C,1,Aged 15 years and under,385
E01000372,Bexley 010C,2,Aged 16 to 24 years,184
E01000372,Bexley 010C,3,Aged 25 to 34 years,199
E01000372,Bexley 010C,4,Aged 35 to 49 years,358
E01000372,Bexley 010C,5,Aged 50 years and over,563
E01000373,Bexley 008A,1,Aged 15 years and under,419
E01000373,Bexley 008A,2,Aged 16 to 24 years,114
E01000373,Bexley 008A,3,Aged 25 to 34 years,288
E01000373,Bexley 008A,4,Aged 35 to 49 years,289
E01000373,Bexley 008A,5,Aged 50 years and over,215
E01000374,Bexley 019A,1,Aged 15 years and under,404
E01000374,Bexley 019A,2,Aged 16 to 24 years,202
E01000374,Bexley 019A,3,Aged 25 to 34 years,196
E01000374,Bexley 019A,4,Aged 35 to 49 years,321
E01000374,Bexley 019A,5,Aged 50 years and over,455
E01000375,Bexley 019B,1,Aged 15 years and under,487
E01000375,Bexley 019B,2,Aged 16 to 24 years,212
E01000375,Bexley 019B,3,Aged 25 to 34 years,386
E01000375,Bexley 019B,4,Aged 35 to 49 years,489
E01000375,Bexley 019B,5,Aged 50 years and over,553
E01000376,Bexley 019C,1,Aged 15 years and under,330
E01000376,Bexley 019C,2,Aged 16 to 24 years,180
E01000376,Bexley 019C,3,Aged 25 to 34 years,232
E01000376,Bexley 019C,4,Aged 35 to 49 years,359
E01000376,Bexley 019C,5,Aged 50 years and over,513
E01000377,Bexley 019D,1,Aged 15 years and under,257
E01000377,Bexley 019D,2,Aged 16 to 24 years,120
E01000377,Bexley 019D,3,Aged 25 to 34 years,227
E01000377,Bexley 019D,4,Aged 35 to 49 years,294
E01000377,Bexley 019D,5,Aged 50 years and over,576
E01000379,Bexley 019F,1,Aged 15 years and under,336
E01000379,Bexley 019F,2,Aged 16 to 24 years,193
E01000379,Bexley 019F,3,Aged 25 to 34 years,238
E01000379,Bexley 019F,4,Aged 35 to 49 years,341
E01000379,Bexley 019F,5,Aged 50 years and over,604
E01000380,Bexley 010D,1,Aged 15 years and under,254
E01000380,Bexley 010D,2,Aged 16 to 24 years,125
E01000380,Bexley 010D,3,Aged 25 to 34 years,296
E01000380,Bexley 010D,4,Aged 35 to 49 years,345
E01000380,Bexley 010D,5,Aged 50 years and over,715
E01000381,Bexley 028A,1,Aged 15 years and under,342
E01000381,Bexley 028A,2,Aged 16 to 24 years,157
E01000381,Bexley 028A,3,Aged 25 to 34 years,203
E01000381,Bexley 028A,4,Aged 35 to 49 years,313
E01000381,Bexley 028A,5,Aged 50 years and over,603
E01000382,Bexley 027A,1,Aged 15 years and under,292
E01000382,Bexley 027A,2,Aged 16 to 24 years,162
E01000382,Bexley 027A,3,Aged 25 to 34 years,143
E01000382,Bexley 027A,4,Aged 35 to 49 years,311
E01000382,Bexley 027A,5,Aged 50 years and over,664
E01000383,Bexley 028B,1,Aged 15 years and under,293
E01000383,Bexley 028B,2,Aged 16 to 24 years,142
E01000383,Bexley 028B,3,Aged 25 to 34 years,155
E01000383,Bexley 028B,4,Aged 35 to 49 years,272
E01000383,Bexley 028B,5,Aged 50 years and over,731
E01000384,Bexley 027B,1,Aged 15 years and under,319
E01000384,Bexley 027B,2,Aged 16 to 24 years,169
E01000384,Bexley 027B,3,Aged 25 to 34 years,244
E01000384,Bexley 027B,4,Aged 35 to 49 years,352
E01000384,Bexley 027B,5,Aged 50 years and over,635
E01000385,Bexley 028C,1,Aged 15 years and under,520
E01000385,Bexley 028C,2,Aged 16 to 24 years,234
E01000385,Bexley 028C,3,Aged 25 to 34 years,274
E01000385,Bexley 028C,4,Aged 35 to 49 years,429
E01000385,Bexley 028C,5,Aged 50 years and over,550
E01000386,Bexley 028D,1,Aged 15 years and under,307
E01000386,Bexley 028D,2,Aged 16 to 24 years,187
E01000386,Bexley 028D,3,Aged 25 to 34 years,199
E01000386,Bexley 028D,4,Aged 35 to 49 years,296
E01000386,Bexley 028D,5,Aged 50 years and over,548
E01000387,Bexley 027C,1,Aged 15 years and under,275
E01000387,Bexley 027C,2,Aged 16 to 24 years,146
E01000387,Bexley 027C,3,Aged 25 to 34 years,155
E01000387,Bexley 027C,4,Aged 35 to 49 years,307
E01000387,Bexley 027C,5,Aged 50 years and over,675
E01000388,Bexley 016A,1,Aged 15 years and under,281
E01000388,Bexley 016A,2,Aged 16 to 24 years,111
E01000388,Bexley 016A,3,Aged 25 to 34 years,145
E01000388,Bexley 016A,4,Aged 35 to 49 years,292
E01000388,Bexley 016A,5,Aged 50 years and over,684
E01000389,Bexley 020E,1,Aged 15 years and under,316
E01000389,Bexley 020E,2,Aged 16 to 24 years,130
E01000389,Bexley 020E,3,Aged 25 to 34 years,203
E01000389,Bexley 020E,4,Aged 35 to 49 years,404
E01000389,Bexley 020E,5,Aged 50 years and over,650
E01000390,Bexley 020F,1,Aged 15 years and under,259
E01000390,Bexley 020F,2,Aged 16 to 24 years,126
E01000390,Bexley 020F,3,Aged 25 to 34 years,159
E01000390,Bexley 020F,4,Aged 35 to 49 years,246
E01000390,Bexley 020F,5,Aged 50 years and over,540
E01000391,Bexley 021E,1,Aged 15 years and under,376
E01000391,Bexley 021E,2,Aged 16 to 24 years,171
E01000391,Bexley 021E,3,Aged 25 to 34 years,233
E01000391,Bexley 021E,4,Aged 35 to 49 years,390
E01000391,Bexley 021E,5,Aged 50 years and over,578
E01000392,Bexley 016B,1,Aged 15 years and under,464
E01000392,Bexley 016B,2,Aged 16 to 24 years,182
E01000392,Bexley 016B,3,Aged 25 to 34 years,349
E01000392,Bexley 016B,4,Aged 35 to 49 years,454
E01000392,Bexley 016B,5,Aged 50 years and over,508
E01000393,Bexley 020G,1,Aged 15 years and under,358
E01000393,Bexley 020G,2,Aged 16 to 24 years,124
E01000393,Bexley 020G,3,Aged 25 to 34 years,217
E01000393,Bexley 020G,4,Aged 35 to 49 years,408
E01000393,Bexley 020G,5,Aged 50 years and over,588
E01000394,Bexley 015E,1,Aged 15 years and under,292
E01000394,Bexley 015E,2,Aged 16 to 24 years,130
E01000394,Bexley 015E,3,Aged 25 to 34 years,219
E01000394,Bexley 015E,4,Aged 35 to 49 years,336
E01000394,Bexley 015E,5,Aged 50 years and over,651
E01000395,Bexley 018B,1,Aged 15 years and under,276
E01000395,Bexley 018B,2,Aged 16 to 24 years,145
E01000395,Bexley 018B,3,Aged 25 to 34 years,150
E01000395,Bexley 018B,4,Aged 35 to 49 years,327
E01000395,Bexley 018B,5,Aged 50 years and over,629
E01000396,Bexley 018C,1,Aged 15 years and under,292
E01000396,Bexley 018C,2,Aged 16 to 24 years,119
E01000396,Bexley 018C,3,Aged 25 to 34 years,179
E01000396,Bexley 018C,4,Aged 35 to 49 years,298
E01000396,Bexley 018C,5,Aged 50 years and over,564
E01000398,Bexley 029A,1,Aged 15 years and under,291
E01000398,Bexley 029A,2,Aged 16 to 24 years,160
E01000398,Bexley 029A,3,Aged 25 to 34 years,175
E01000398,Bexley 029A,4,Aged 35 to 49 years,329
E01000398,Bexley 029A,5,Aged 50 years and over,638
E01000399,Bexley 029B,1,Aged 15 years and under,279
E01000399,Bexley 029B,2,Aged 16 to 24 years,141
E01000399,Bexley 029B,3,Aged 25 to 34 years,175
E01000399,Bexley 029B,4,Aged 35 to 49 years,316
E01000399,Bexley 029B,5,Aged 50 years and over,660
E01000400,Bexley 029C,1,Aged 15 years and under,280
E01000400,Bexley 029C,2,Aged 16 to 24 years,151
E01000400,Bexley 029C,3,Aged 25 to 34 years,204
E01000400,Bexley 029C,4,Aged 35 to 49 years,317
E01000400,Bexley 029C,5,Aged 50 years and over,621
E01000401,Bexley 013A,1,Aged 15 years and under,357
E01000401,Bexley 013A,2,Aged 16 to 24 years,186
E01000401,Bexley 013A,3,Aged 25 to 34 years,249
E01000401,Bexley 013A,4,Aged 35 to 49 years,355
E01000401,Bexley 013A,5,Aged 50 years and over,669
E01000402,Bexley 005B,1,Aged 15 years and under,364
E01000402,Bexley 005B,2,Aged 16 to 24 years,165
E01000402,Bexley 005B,3,Aged 25 to 34 years,207
E01000402,Bexley 005B,4,Aged 35 to 49 years,314
E01000402,Bexley 005B,5,Aged 50 years and over,553
E01000403,Bexley 004A,1,Aged 15 years and under,570
E01000403,Bexley 004A,2,Aged 16 to 24 years,203
E01000403,Bexley 004A,3,Aged 25 to 34 years,346
E01000403,Bexley 004A,4,Aged 35 to 49 years,471
E01000403,Bexley 004A,5,Aged 50 years and over,813
E01000404,Bexley 004B,1,Aged 15 years and under,733
E01000404,Bexley 004B,2,Aged 16 to 24 years,250
E01000404,Bexley 004B,3,Aged 25 to 34 years,433
E01000404,Bexley 004B,4,Aged 35 to 49 years,591
E01000404,Bexley 004B,5,Aged 50 years and over,416
E01000405,Bexley 004C,1,Aged 15 years and under,410
E01000405,Bexley 004C,2,Aged 16 to 24 years,205
E01000405,Bexley 004C,3,Aged 25 to 34 years,230
E01000405,Bexley 004C,4,Aged 35 to 49 years,355
E01000405,Bexley 004C,5,Aged 50 years and over,380
E01000406,Bexley 005C,1,Aged 15 years and under,546
E01000406,Bexley 005C,2,Aged 16 to 24 years,197
E01000406,Bexley 005C,3,Aged 25 to 34 years,399
E01000406,Bexley 005C,4,Aged 35 to 49 years,484
E01000406,Bexley 005C,5,Aged 50 years and over,518
E01000407,Bexley 005D,1,Aged 15 years and under,352
E01000407,Bexley 005D,2,Aged 16 to 24 years,148
E01000407,Bexley 005D,3,Aged 25 to 34 years,265
E01000407,Bexley 005D,4,Aged 35 to 49 years,392
E01000407,Bexley 005D,5,Aged 50 years and over,713
E01000408,Bexley 004D,1,Aged 15 years and under,434
E01000408,Bexley 004D,2,Aged 16 to 24 years,202
E01000408,Bexley 004D,3,Aged 25 to 34 years,262
E01000408,Bexley 004D,4,Aged 35 to 49 years,404
E01000408,Bexley 004D,5,Aged 50 years and over,472
E01000409,Bexley 016C,1,Aged 15 years and under,366
E01000409,Bexley 016C,2,Aged 16 to 24 years,140
E01000409,Bexley 016C,3,Aged 25 to 34 years,208
E01000409,Bexley 016C,4,Aged 35 to 49 years,391
E01000409,Bexley 016C,5,Aged 50 years and over,637
E01000410,Bexley 018D,1,Aged 15 years and under,368
E01000410,Bexley 018D,2,Aged 16 to 24 years,161
E01000410,Bexley 018D,3,Aged 25 to 34 years,190
E01000410,Bexley 018D,4,Aged 35 to 49 years,381
E01000410,Bexley 018D,5,Aged 50 years and over,562
E01000411,Bexley 016D,1,Aged 15 years and under,276
E01000411,Bexley 016D,2,Aged 16 to 24 years,164
E01000411,Bexley 016D,3,Aged 25 to 34 years,180
E01000411,Bexley 016D,4,Aged 35 to 49 years,308
E01000411,Bexley 016D,5,Aged 50 years and over,566
E01000412,Bexley 018E,1,Aged 15 years and under,384
E01000412,Bexley 018E,2,Aged 16 to 24 years,175
E01000412,Bexley 018E,3,Aged 25 to 34 years,237
E01000412,Bexley 018E,4,Aged 35 to 49 years,407
E01000412,Bexley 018E,5,Aged 50 years and over,563
E01000413,Bexley 018F,1,Aged 15 years and under,250
E01000413,Bexley 018F,2,Aged 16 to 24 years,149
E01000413,Bexley 018F,3,Aged 25 to 34 years,175
E01000413,Bexley 018F,4,Aged 35 to 49 years,274
E01000413,Bexley 018F,5,Aged 50 years and over,500
E01000414,Bexley 016E,1,Aged 15 years and under,357
E01000414,Bexley 016E,2,Aged 16 to 24 years,185
E01000414,Bexley 016E,3,Aged 25 to 34 years,281
E01000414,Bexley 016E,4,Aged 35 to 49 years,439
E01000414,Bexley 016E,5,Aged 50 years and over,632
E01000415,Bexley 016F,1,Aged 15 years and under,234
E01000415,Bexley 016F,2,Aged 16 to 24 years,139
E01000415,Bexley 016F,3,Aged 25 to 34 years,169
E01000415,Bexley 016F,4,Aged 35 to 49 years,290
E01000415,Bexley 016F,5,Aged 50 years and over,635
E01000416,Bexley 002A,1,Aged 15 years and under,326
E01000416,Bexley 002A,2,Aged 16 to 24 years,211
E01000416,Bexley 002A,3,Aged 25 to 34 years,239
E01000416,Bexley 002A,4,Aged 35 to 49 years,312
E01000416,Bexley 002A,5,Aged 50 years and over,542
E01000417,Bexley 006B,1,Aged 15 years and under,347
E01000417,Bexley 006B,2,Aged 16 to 24 years,146
E01000417,Bexley 006B,3,Aged 25 to 34 years,223
E01000417,Bexley 006B,4,Aged 35 to 49 years,379
E01000417,Bexley 006B,5,Aged 50 years and over,642
E01000418,Bexley 002B,1,Aged 15 years and under,421
E01000418,Bexley 002B,2,Aged 16 to 24 years,215
E01000418,Bexley 002B,3,Aged 25 to 34 years,282
E01000418,Bexley 002B,4,Aged 35 to 49 years,426
E01000418,Bexley 002B,5,Aged 50 years and over,601
E01000419,Bexley 006C,1,Aged 15 years and under,260
E01000419,Bexley 006C,2,Aged 16 to 24 years,125
E01000419,Bexley 006C,3,Aged 25 to 34 years,154
E01000419,Bexley 006C,4,Aged 35 to 49 years,277
E01000419,Bexley 006C,5,Aged 50 years and over,679
E01000420,Bexley 006D,1,Aged 15 years and under,283
E01000420,Bexley 006D,2,Aged 16 to 24 years,143
E01000420,Bexley 006D,3,Aged 25 to 34 years,164
E01000420,Bexley 006D,4,Aged 35 to 49 years,270
E01000420,Bexley 006D,5,Aged 50 years and over,662
E01000421,Bexley 009D,1,Aged 15 years and under,238
E01000421,Bexley 009D,2,Aged 16 to 24 years,139
E01000421,Bexley 009D,3,Aged 25 to 34 years,119
E01000421,Bexley 009D,4,Aged 35 to 49 years,279
E01000421,Bexley 009D,5,Aged 50 years and over,746
E01000422,Bexley 002C,1,Aged 15 years and under,357
E01000422,Bexley 002C,2,Aged 16 to 24 years,153
E01000422,Bexley 002C,3,Aged 25 to 34 years,183
E01000422,Bexley 002C,4,Aged 35 to 49 years,288
E01000422,Bexley 002C,5,Aged 50 years and over,357
E01000423,Bexley 025C,1,Aged 15 years and under,307
E01000423,Bexley 025C,2,Aged 16 to 24 years,154
E01000423,Bexley 025C,3,Aged 25 to 34 years,158
E01000423,Bexley 025C,4,Aged 35 to 49 years,317
E01000423,Bexley 025C,5,Aged 50 years and over,669
E01000424,Bexley 026A,1,Aged 15 years and under,225
E01000424,Bexley 026A,2,Aged 16 to 24 years,183
E01000424,Bexley 026A,3,Aged 25 to 34 years,240
E01000424,Bexley 026A,4,Aged 35 to 49 years,328
E01000424,Bexley 026A,5,Aged 50 years and over,751
E01000425,Bexley 025D,1,Aged 15 years and under,341
E01000425,Bexley 025D,2,Aged 16 to 24 years,143
E01000425,Bexley 025D,3,Aged 25 to 34 years,145
E01000425,Bexley 025D,4,Aged 35 to 49 years,362
E01000425,Bexley 025D,5,Aged 50 years and over,809
E01000426,Bexley 026B,1,Aged 15 years and under,309
E01000426,Bexley 026B,2,Aged 16 to 24 years,144
E01000426,Bexley 026B,3,Aged 25 to 34 years,287
E01000426,Bexley 026B,4,Aged 35 to 49 years,361
E01000426,Bexley 026B,5,Aged 50 years and over,570
E01000427,Bexley 026C,1,Aged 15 years and under,352
E01000427,Bexley 026C,2,Aged 16 to 24 years,199
E01000427,Bexley 026C,3,Aged 25 to 34 years,267
